match_id,hero_pick_sequence
8382206418,26 96 2 18 46 36 75 6 52 53
8382201800,71 110 30 75 135 41 81 23 49 39
8382200201,51 14 26 9 11 13 54 80 28 119
8382198815,40 85 27 45 15 135 61 10 39 7
8382198306,14 63 88 83 110 11 27 8 99 35 76
8382195801,14 35 105 64 27 102 52 99 63 53 13
8382195800,40 39 58 97 7 41 17 20 22 1 6
8382195305,85 14 79 37 35 36 135 104 53 8
8382194703,14 27 87 39 25 84 29 136 18 61
8382193902,14 53 63 50 27 35 88 104 111 44 6
8382193703,84 20 64 75 42 11 94 1 56 25 7
8382192803,67 14 105 44 69 26 71 42 37 106 29
8382191704,75 14 84 87 71 64 96 85 82 42 44
8382191702,53 14 136 27 79 59 135 81 7 11 46
8382191300,75 57 45 27 33 52 1 14 59 102
8382191213,30 2 22 14 34 99 70 84 74 80
8382190911,7 14 126 68 53 11 84 137 13 76
8382190716,14 128 20 30 106 70 22 42 1
8382190616,14 74 22 75 30 71 26 114 67 95 54
8382190117,14 3 84 121 23 104 102 52 74 46 44
8382189818,105 14 50 64 131 2 73 36 84 104 8 59
8382188802,14 129 85 30 20 84 6 22 44 1
8382188801,75 101 26 65 47 17 45 36 93 69
8382188712,136 111 75 27 102 29 35 104 70 43
8382188510,87 14 86 97 37 39 104 18 42 136 10 13
8382188505,14 83 52 30 85 11 25 86 35 44
8382188410,86 90 84 11 1 62 28 60 54 100
8382188211,84 51 14 21 9 98 30 12 39 44
8382188005,14 74 30 29 121 36 25 21 86 8 28
8382187607,101 37 51 36 87 8 2 76 42 21
8382187406,27 53 85 20 2 5 26 8 46 137 17
8382187313,40 27 135 75 2 18 26 12 52 34
8382187205,9 30 27 53 13 94 97 65 8 106
8382187106,111 71 83 23 33 16 109 11 25 72
8382187013,42 53 16 2 26 67 20 31 18 52 30
8382186810,86 68 60 1 30 42 88 14 39 47
8382186808,40 64 36 75 6 104 1 108 17 5
8382186501,40 119 2 114 9 108 27 35 129 54 67
8382186409,112 63 14 84 34 98 52 25 54 74 70
8382186205,20 26 121 22 7 93 40 18 126 13
8382185814,35 39 123 51 131 112 12 44 36 104
8382185516,135 64 76 51 26 74 70 61 12 96
8382185514,14 35 21 53 136 97 105 111 1 74
8382185400,53 51 119 27 110 2 42 6 135 126
8382185312,14 27 85 135 75 138 10 77 50 13 26 93
8382185308,89 5 106 138 126 36 85 18 11 65
